name;platform;r-date;score;user score;developer;genre;players;critics;users;1 Player;1-2 Player;No Online Multiplayer;MP up to 32;MP up to 30;MP up to 16;No info;1-4 Player
LEGO Star Wars: The Complete Saga;PlayStation3;06.11.2007;80;7.2;Traveller'sTales;Action,Miscellaneous,General,General,Compilation;2  Online;18;111;0;0;0;0;0;0;0;0
TowerFall Ascension;XboxOne;25.01.2017;80;7.2;MattMakesGamesInc.;Action,General;No info;10;6;0;0;0;0;0;0;1;0
Microsoft Flight Simulator X;PC;17.10.2006;80;7.2;MicrosoftGameStudios;Simulation,Flight,Modern Jet,Modern Jet,Combat;32  Online;28;132;0;0;0;0;0;0;0;0
Hitman: Absolution;Xbox360;20.11.2012;79;7.2;IoInteractive;Action Adventure,Modern,General,Modern;No Online Multiplayer;51;497;0;0;1;0;0;0;0;0
FIFA Soccer;PlayStationVita;15.02.2012;79;7.2;ElectronicArts;Sports,Traditional,Team,Soccer,Sim,Sim;2 ;45;84;0;0;0;0;0;0;0;0
The Pinball of the Dead;GameBoyAdvance;16.06.2002;79;7.2;Sega;Miscellaneous,Parlor,Pinball;1 Player;20;5;1;0;0;0;0;0;0;0
Silent Hunter: Wolves of the Pacific;PC;20.03.2007;79;7.2;UbisoftRomania;Simulation,Submarine,Submarine,Marine,Combat;8  Online;22;45;0;0;0;0;0;0;0;0
LEGO Batman 2: DC Super Heroes;Xbox360;19.06.2012;79;7.2;TTGames;Action Adventure,Modern,General,Modern;No Online Multiplayer;59;130;0;0;1;0;0;0;0;0
Else Heart.Break();PC;24.09.2015;79;7.2;ErikSvedang;Role-Playing,General;No Online Multiplayer;10;16;0;0;1;0;0;0;0;0
Pirates Outlaws;PC;13.04.2020;79;7.2;FabledGame;Strategy,Turn-Based,Card Battle;;9;5;0;0;0;0;0;0;0;0
Quantum Conundrum;PlayStation3;10.07.2012;79;7.2;AirtightGames;Miscellaneous,Puzzle,General,Puzzle,General;No info;14;49;0;0;0;0;0;0;1;0
Blazing Chrome;PC;11.07.2019;79;7.2;JoyMasher;Action,Platformer,2D;2 ;14;32;0;0;0;0;0;0;0;0
Gato Roboto;PC;30.05.2019;79;7.2;Doinksoft;Action,Platformer,2D;No Online Multiplayer;11;23;0;0;1;0;0;0;0;0
UEFA EURO 2008;PlayStation3;19.05.2008;79;7.2;EACanada;Sports,Traditional,Team,Soccer,Sim,Sim;Up to 14 ;29;6;0;0;0;0;0;0;0;0
Outland;PC;29.09.2014;79;7.2;Housemarque,KnockoutGames;Action,Platformer,2D;No info;9;59;0;0;0;0;0;0;1;0
Trainz;PC;10.02.2002;79;7.2;Auran;Strategy,Tycoon,Management,Tycoon,Business / Tycoon;1 Player;16;6;1;0;0;0;0;0;0;0
Heat Signature;PC;21.09.2017;79;7.2;TomFrancis;Action,General;No info;7;27;0;0;0;0;0;0;1;0
High Hell;PC;23.10.2017;79;7.2;TerriVellimann;Action,Shooter,First-Person,Arcade;No Online Multiplayer;15;10;0;0;1;0;0;0;0;0
Moving Out;PC;28.04.2020;79;7.2;SMGStudio;Puzzle,Action;Up to 4 ;8;13;0;0;0;0;0;0;0;0
Druidstone: The Secret of the Menhir Forest;PC;15.05.2019;79;7.2;CtrlAltNinjaLtd.;Role-Playing,Western-Style;No Online Multiplayer;9;24;0;0;1;0;0;0;0;0
Noitu Love: Devolution;WiiU;15.09.2016;79;7.2;Konjak,MP2Games;Action,Beat-'Em-Up,2D;No info;7;5;0;0;0;0;0;0;1;0
Torchlight II;XboxOne;03.09.2019;78;7.2;PanicButton;Role-Playing,Action RPG;Up to 4 ;7;14;0;0;0;0;0;0;0;0
Layers of Fear;XboxOne;16.02.2016;78;7.2;BlooberTeam;Adventure,3D,First-Person;No info;10;111;0;0;0;0;0;0;1;0
Deathsmiles;PC;10.03.2016;78;7.2;Cave;Action,Shooter,Shoot-'Em-Up,Horizontal;No Online Multiplayer;10;9;0;0;1;0;0;0;0;0
Contra: Shattered Soldier;PlayStation2;22.10.2002;78;7.2;KCET;Action,Shooter,Scrolling;1-2 ;33;35;0;1;0;0;0;0;0;0
Murder by Numbers;PC;06.03.2020;78;7.2;Mediatonic;Adventure,General;No Online Multiplayer;18;16;0;0;1;0;0;0;0;0
Shox;PlayStation2;19.11.2002;78;7.2;ElectronicArts;Driving,Racing,Rally / Offroad;1-4 ;16;6;0;0;0;0;0;0;0;1
Mortal Kombat: Shaolin Monks;Xbox;16.09.2005;78;7.2;MidwayStudios-LosAngeles;Action,Beat-'Em-Up;1-2 ;37;26;0;1;0;0;0;0;0;0
State of Decay;Xbox360;05.06.2013;78;7.2;UndeadLabs;Action Adventure,Horror,Horror,Survival;No Online Multiplayer;52;622;0;0;1;0;0;0;0;0
A Kingdom for Keflings;Xbox360;19.11.2008;78;7.2;NinjaBee;Strategy,Breeding/Constructing,General,Breeding/Constructing;4  Online;26;43;0;0;0;0;0;0;0;0
WWE SmackDown vs. Raw 2009;PlayStation2;09.11.2008;78;7.2;Yuke's;Action,Fighting,Wrestling;1-6 ;9;42;0;0;0;0;0;0;0;0
New Super Mario Bros. 2;3DS;19.08.2012;78;7.2;Nintendo;Action,Platformer,Platformer,2D,2D;No Online Multiplayer;70;579;0;0;1;0;0;0;0;0
RiME;PC;26.05.2017;78;7.2;TequilaWorks,QLOC;Action,Adventure,General,3D,Third-Person;No Online Multiplayer;19;198;0;0;1;0;0;0;0;0
Switchball;Xbox360;07.11.2007;78;7.2;AtomicElbow;Miscellaneous,Puzzle,Action,Puzzle,General,General;8  Online;25;11;0;0;0;0;0;0;0;0
Every Extend Extra Extreme;Xbox360;17.10.2007;78;7.2;CycloneZero;Action,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Top-Down;2  Online;23;17;0;0;0;0;0;0;0;0
Mutant Storm Reloaded;Xbox360;22.11.2005;77;7.2;PomPomGames;Action,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Top-Down;1-2 ;18;9;0;1;0;0;0;0;0;0
Ancestors Legacy;PC;22.05.2018;77;7.2;DestructiveCreations;Strategy,Real-Time,General,Command;Up to 6 ;22;106;0;0;0;0;0;0;0;0
The Bigs;PlayStation3;25.06.2007;77;7.2;BlueCastleGames;Sports,Traditional,Team,Baseball,Arcade,Arcade;1-4 ;19;12;0;0;0;0;0;0;0;1
Battlefield 2: Modern Combat;Xbox360;11.04.2006;77;7.2;DigitalIllusions;Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern;Up to 24 ;54;82;0;0;0;0;0;0;0;0
Duke Nukem 3D: 20th Anniversary World Tour;PlayStation4;11.10.2016;77;7.2;GearboxSoftware;Action,Shooter,First-Person,Arcade;Up to 8 ;15;36;0;0;0;0;0;0;0;0
King's Quest Chapter 1: A Knight to Remember;PlayStation4;28.07.2015;77;7.2;TheOddGentlemen;Adventure,General;No info;22;81;0;0;0;0;0;0;1;0
Quantum Break;XboxOne;05.04.2016;77;7.2;RemedyEntertainment;General,Action,General;No Online Multiplayer;106;2044;0;0;1;0;0;0;0;0
Hearts of Iron III;PC;07.08.2009;77;7.2;ParadoxDevelopmentStudio;Strategy,Real-Time,Historic,General,Historic;1-2 ;23;247;0;1;0;0;0;0;0;0
Super Little Acorns 3D Turbo;3DS;18.04.2013;77;7.2;PixelToys;Action,General,General;1 Player;12;14;1;0;0;0;0;0;0;0
LEGO City Undercover;PlayStation4;04.04.2017;77;7.2;TTGames;Action Adventure,Open-World;No Online Multiplayer;27;46;0;0;1;0;0;0;0;0
Resident Evil: Revelations;PC;20.05.2013;77;7.2;Capcom;Action Adventure,Horror,Horror,Survival;2 ;12;467;0;0;0;0;0;0;0;0
NHL 06;PC;06.09.2005;77;7.2;EACanada;Sports,Traditional,Team,Ice Hockey,Sim,Sim;4  Online;16;18;0;0;0;0;0;0;0;0
Observer;PlayStation4;15.08.2017;77;7.2;BlooberTeam;Adventure,3D,First-Person;No Online Multiplayer;19;83;0;0;1;0;0;0;0;0
Uno Rush;Xbox360;25.03.2009;77;7.2;CarbonatedGames;Miscellaneous,Board Games,Board Games,Board / Card Game;4  Online;12;6;0;0;0;0;0;0;0;0
Pangya Fantasy Golf;PSP;23.06.2009;77;7.2;NtreevSoft;Sports,Traditional,Individual,Golf,Arcade,Arcade;No info;16;14;0;0;0;0;0;0;1;0
Blasters of the Universe;PlayStation4;27.02.2018;76;7.2;SecretLocation;Action,Shooter,First-Person,Arcade;No Online Multiplayer;12;13;0;0;1;0;0;0;0;0
D4: Dark Dreams Don't Die;XboxOne;19.09.2014;76;7.2;AccessGames;Action,Adventure,General,3D,Point-and-Click,Modern,Third-Person,Modern;No info;43;308;0;0;0;0;0;0;1;0
Tom Clancy's Rainbow Six: Rogue Spear;GameBoyAdvance;18.03.2002;76;7.2;UbisoftMilan;Action,Shooter,Third-Person,Tactical,Modern;No info;7;5;0;0;0;0;0;0;1;0
NCAA March Madness 06;Xbox;11.10.2005;76;7.2;EACanada;Sports,Traditional,Basketball,Sim;2  Online;21;5;0;0;0;0;0;0;0;0
Triple Play Baseball;PlayStation;12.03.2001;76;7.2;EASports;Sports,Traditional,Baseball,Sim;No info;8;6;0;0;0;0;0;0;1;0
